ts,open,high,low,close,kvwapd1,kvwaph4,kvwaph1,kvwapm30,kvwapm15,kvwapm5,kvwapm1,fair_price,breakout_price,breakout_coc,breakout_rev
2020-02-06,9630,9884,9550,9778.12,9652.239035,9654.956393,9675.764571,9691.646398,9701.630625,9707.886814,9710.030553,,,,
2020-02-07,9777.97,9900,9736.66,9821.52,9804.679968,9804.629837,9804.013827,9803.021729,9801.958676,9801.51173,9801.827986,,,,
2020-02-08,9821.52,9956,9680.55,9906.43,9795.331038,9796.695072,9807.182366,9815.327924,9820.646113,9824.458871,9826.011592,,,,
2020-02-09,9906.09,10184.34,9892.15,10167.38,10040.98382,10042.7273,10056.91888,10069.09549,10078.15515,10085.73472,10089.49563,,,,
2020-02-10,10167.37,10213.56,9750,9865.56,10041.88153,10037.57695,10003.43216,9975.949796,9957.477214,9944.277991,9939.128459,,,,
2020-02-11,9865.56,10409.96,9729.36,10229.06,9829.827288,9835.2761,9877.328611,9912.158052,9937.4382,9954.800837,9961.296601,,,,
2020-02-12,10230.74,10479.98,10229.71,10339.99,10308.7223,10309.83542,10318.24784,10324.74707,10329.1134,10332.24758,10333.47285,,,,
2020-02-13,10339.64,10540,10101,10239.63,10350.28139,10347.59584,10326.75229,10311.08757,10301.82515,10296.22743,10294.38758,,,,
2020-02-14,10240.02,10390,10123.37,10356.82,10241.11478,10242.23313,10250.81353,10258.02341,10263.8537,10268.69896,10270.57368,,,,
2020-02-15,10356.27,10389.75,9752.3,9914.99,10266.73576,10262.72459,10231.14528,10203.23646,10180.75161,10163.06437,10155.65812,,,,
2020-02-16,9914.31,10060.45,9626.64,9921.86,9953.60285,9951.437701,9935.194873,9922.624796,9914.658539,9911.320282,9911.783603,,,,
2020-02-17,9921.87,9971,9461.89,9716,9800.099924,9796.622283,9769.588403,9748.366329,9734.188887,9723.844023,9719.621605,,,,
2020-02-18,9716,10270,9598,10174.32,9743.869861,9746.442706,9767.276802,9788.356527,9808.765828,9827.523818,9835.797704,,,,
2020-02-19,10174.53,10286,9293.07,9593.65,10128.60034,10128.35472,10125.70659,10120.85341,10112.3786,10098.08112,10089.63238,,10270,FALSE,FALSE
2020-02-20,9593.31,9700,9382.59,9601.99,9593.595481,9593.22001,9590.276059,9587.64027,9585.653267,9584.801122,9584.749798,,,,
2020-02-21,9601.51,9759.59,9547,9681.39,9659.172226,9660.04868,9666.997422,9672.569248,9676.318328,9679.169456,9680.669045,,,,
2020-02-22,9681.39,9710.7,9565,9659.2,9654.718392,9654.694012,9654.240836,9653.695363,9653.399938,9653.080419,9652.819379,,,,
2020-02-23,9658.95,10018.9,9657,9943.12,9791.839374,9794.033191,9811.994935,9827.754949,9839.603894,9849.058693,9853.62389,,,,
2020-02-24,9943.12,10000,9487.38,9662.95,9812.074176,9809.575625,9789.223614,9770.23575,9754.148749,9741.056125,9735.979036,,,,
2020-02-25,9662.88,9686.78,9247,9326,9575.306312,9572.463746,9550.309848,9531.412716,9517.120629,9506.641527,9502.115347,,9293.07,FALSE,FALSE
2020-02-26,9326,9384,8610,8792.22,9193.773879,9188.791247,9149.837501,9116.042164,9089.21174,9067.670565,9058.682219,,,,
2020-02-27,8793.96,8978,8533.9,8828,8748.26541,8750.862148,8771.518749,8788.122371,8798.398606,8803.087908,8803.69562,,,,
2020-02-28,8827.12,8908.86,8450,8699.57,8778.92375,8775.323627,8747.142778,8725.664448,8713.249523,8707.42534,8706.295978,,,,
2020-02-29,8699.86,8799.83,8530,8531.98,8717.359863,8715.959448,8705.413898,8697.624364,8692.587925,8688.383832,8686.158817,,,,
